state_code,year,month,value
AL,2015,12,6.1
AL,2015,11,6.1
AL,2015,10,6.1
AL,2015,9,6.1
AL,2015,8,6.2
AL,2015,7,6.2
AL,2015,6,6.2
AL,2015,5,6.1
AL,2015,4,6.1
AL,2015,3,6.1
AL,2015,2,6.1
AL,2015,1,6.1
AL,2014,12,6.2
AL,2014,11,6.3
AL,2014,10,6.4
AL,2014,9,6.5
AL,2014,8,6.6
AL,2014,7,6.7
AL,2014,6,6.8
AL,2014,5,6.9
AL,2014,4,7.0
AL,2014,3,7.1
AL,2014,2,7.1
AL,2014,1,7.2
AL,2013,12,7.2
AL,2013,11,7.2
AL,2013,10,7.2
AL,2013,9,7.2
AL,2013,8,7.2
AL,2013,7,7.2
AL,2013,6,7.3
AL,2013,5,7.3
AL,2013,4,7.4
AL,2013,3,7.5
AL,2013,2,7.6
AL,2013,1,7.6
AL,2012,12,7.7
AL,2012,11,7.8
AL,2012,10,7.8
AL,2012,9,7.9
AL,2012,8,8.1
AL,2012,7,8.2
AL,2012,6,8.3
AL,2012,5,8.4
AL,2012,4,8.4
AL,2012,3,8.4
AL,2012,2,8.4
AL,2012,1,8.5
AL,2011,12,8.7
AL,2011,11,8.9
AL,2011,10,9.2
AL,2011,9,9.4
AL,2011,8,9.6
AL,2011,7,9.7
AL,2011,6,9.8
AL,2011,5,9.8
AL,2011,4,9.9
AL,2011,3,9.9
AL,2011,2,10.0
AL,2011,1,10.1
AL,2010,12,10.1
AL,2010,11,10.2
AL,2010,10,10.1
AL,2010,9,10.1
AL,2010,8,10.0
AL,2010,7,10.1
AL,2010,6,10.1
AL,2010,5,10.3
AL,2010,4,10.5
AL,2010,3,10.9
AL,2010,2,11.0
AL,2010,1,11.1
AL,2009,12,11.1
AL,2009,11,11.0
AL,2009,10,10.9
AL,2009,9,10.8
AL,2009,8,10.6
AL,2009,7,10.4
AL,2009,6,10.2
AL,2009,5,9.9
AL,2009,4,9.6
AL,2009,3,9.3
AL,2009,2,8.8
AL,2009,1,8.4
AL,2008,12,7.8
AL,2008,11,7.3
AL,2008,10,6.9
AL,2008,9,6.5
AL,2008,8,6.1
AL,2008,7,5.9
AL,2008,6,5.6
AL,2008,5,5.3
AL,2008,4,5.1
AL,2008,3,4.9
AL,2008,2,4.7
AL,2008,1,4.5
AL,2007,12,4.4
AL,2007,11,4.3
AL,2007,10,4.2
AL,2007,9,4.2
AL,2007,8,4.1
AL,2007,7,4.0
AL,2007,6,4.0
AL,2007,5,3.9
AL,2007,4,3.9
AL,2007,3,3.9
AL,2007,2,3.8
AL,2007,1,3.8
AK,2015,12,6.4
AK,2015,11,6.3
AK,2015,10,6.3
AK,2015,9,6.2
AK,2015,8,6.2
AK,2015,7,6.2
AK,2015,6,6.3
AK,2015,5,6.3
AK,2015,4,6.3
AK,2015,3,6.3
AK,2015,2,6.3
AK,2015,1,6.2
AK,2014,12,6.3
AK,2014,11,6.4
AK,2014,10,6.5
AK,2014,9,6.7
AK,2014,8,6.8
AK,2014,7,6.8
AK,2014,6,6.9
AK,2014,5,6.9
AK,2014,4,6.9
AK,2014,3,6.9
AK,2014,2,6.9
AK,2014,1,6.9
AK,2013,12,6.9
AK,2013,11,6.9
AK,2013,10,7.0
AK,2013,9,7.0
AK,2013,8,7.0
AK,2013,7,7.0
AK,2013,6,7.0
AK,2013,5,7.0
AK,2013,4,7.0
AK,2013,3,7.0
AK,2013,2,7.0
AK,2013,1,7.1
AK,2012,12,7.1
AK,2012,11,7.1
AK,2012,10,7.1
AK,2012,9,7.1
AK,2012,8,7.2
AK,2012,7,7.2
AK,2012,6,7.3
AK,2012,5,7.3
AK,2012,4,7.3
AK,2012,3,7.4
AK,2012,2,7.4
AK,2012,1,7.5
AK,2011,12,7.5
AK,2011,11,7.6
AK,2011,10,7.7
AK,2011,9,7.7
AK,2011,8,7.7
AK,2011,7,7.7
AK,2011,6,7.7
AK,2011,5,7.7
AK,2011,4,7.8
AK,2011,3,7.8
AK,2011,2,7.9
AK,2011,1,8.0
AK,2010,12,8.0
AK,2010,11,8.1
AK,2010,10,8.0
AK,2010,9,8.0
AK,2010,8,7.9
AK,2010,7,7.9
AK,2010,6,8.0
AK,2010,5,8.2
AK,2010,4,8.3
AK,2010,3,8.4
AK,2010,2,8.4
AK,2010,1,8.4
AK,2009,12,8.4
AK,2009,11,8.3
AK,2009,10,8.3
AK,2009,9,8.2
AK,2009,8,8.2
AK,2009,7,8.1
AK,2009,6,8.1
AK,2009,5,8.0
AK,2009,4,7.9
AK,2009,3,7.7
AK,2009,2,7.4
AK,2009,1,7.2
AK,2008,12,6.9
AK,2008,11,6.7
AK,2008,10,6.6
AK,2008,9,6.6
AK,2008,8,6.5
AK,2008,7,6.5
AK,2008,6,6.5
AK,2008,5,6.4
AK,2008,4,6.3
AK,2008,3,6.3
AK,2008,2,6.2
AK,2008,1,6.2
AK,2007,12,6.2
AK,2007,11,6.3
AK,2007,10,6.3
AK,2007,9,6.3
AK,2007,8,6.3
AK,2007,7,6.3
AK,2007,6,6.3
AK,2007,5,6.2
AK,2007,4,6.2
AK,2007,3,6.2
AK,2007,2,6.2
AK,2007,1,6.3
AZ,2015,12,5.8
AZ,2015,11,5.8
AZ,2015,10,5.9
AZ,2015,9,6.0
AZ,2015,8,6.0
AZ,2015,7,6.1
AZ,2015,6,6.1
AZ,2015,5,6.1
AZ,2015,4,6.2
AZ,2015,3,6.2
AZ,2015,2,6.3
AZ,2015,1,6.4
AZ,2014,12,6.4
AZ,2014,11,6.5
AZ,2014,10,6.6
AZ,2014,9,6.7
AZ,2014,8,6.7
AZ,2014,7,6.7
AZ,2014,6,6.8
AZ,2014,5,6.9
AZ,2014,4,6.9
AZ,2014,3,7.0
AZ,2014,2,7.1
AZ,2014,1,7.2
AZ,2013,12,7.4
AZ,2013,11,7.5
AZ,2013,10,7.6
AZ,2013,9,7.7
AZ,2013,8,7.8
AZ,2013,7,7.8
AZ,2013,6,7.9
AZ,2013,5,7.9
AZ,2013,4,8.0
AZ,2013,3,8.0
AZ,2013,2,8.1
AZ,2013,1,8.1
AZ,2012,12,8.1
AZ,2012,11,8.1
AZ,2012,10,8.1
AZ,2012,9,8.1
AZ,2012,8,8.2
AZ,2012,7,8.3
AZ,2012,6,8.4
AZ,2012,5,8.5
AZ,2012,4,8.5
AZ,2012,3,8.6
AZ,2012,2,8.6
AZ,2012,1,8.7
AZ,2011,12,8.8
AZ,2011,11,9.0
AZ,2011,10,9.1
AZ,2011,9,9.3
AZ,2011,8,9.4
AZ,2011,7,9.5
AZ,2011,6,9.6
AZ,2011,5,9.6
AZ,2011,4,9.6
AZ,2011,3,9.7
AZ,2011,2,9.8
AZ,2011,1,9.8
AZ,2010,12,10.0
AZ,2010,11,10.0
AZ,2010,10,10.1
AZ,2010,9,10.1
AZ,2010,8,10.2
AZ,2010,7,10.2
AZ,2010,6,10.3
AZ,2010,5,10.4
AZ,2010,4,10.5
AZ,2010,3,10.6
AZ,2010,2,10.6
AZ,2010,1,10.6
AZ,2009,12,10.6
AZ,2009,11,10.5
AZ,2009,10,10.4
AZ,2009,9,10.3
AZ,2009,8,10.1
AZ,2009,7,10.0
AZ,2009,6,9.7
AZ,2009,5,9.5
AZ,2009,4,9.2
AZ,2009,3,8.9
