Threshold,Ratio,Approved Loan
0.01,,0
0.02,,0
0.03,,0
0.04,,0
0.05,,0
0.060000000000000005,,0
0.06999999999999999,,0
0.08,,0
0.09,,0
0.09999999999999999,,0
0.11,15.25,65
0.12,16.488888888888887,787
0.13,13.366279069767442,2471
0.14,12.463414634146341,5520
0.15000000000000002,10.247914183551847,9437
0.16,8.7267483777938,13491
0.17,7.7612903225806456,17654
0.18000000000000002,7.149192033070275,21685
0.19,6.730216926367247,25301
0.2,6.250063791783618,28413
0.21000000000000002,5.90445434298441,31001
0.22,5.681367590532066,33026
0.23,5.434533702677747,34843
0.24000000000000002,5.2591127922971115,36403
0.25,5.098934796642996,37789
0.26,4.982753357753357,39199
0.27,4.8528689116924415,40496
0.28,4.752486187845304,41648
0.29000000000000004,4.647651897054922,42572
0.3,4.5574778931180315,43365
0.31,4.488424197162061,44094
0.32,4.413273909901228,44941
0.33,4.329269708580053,45901
0.34,4.2289035430870685,46783
0.35000000000000003,4.144638403990025,47449
0.36000000000000004,4.070923482849604,48047
0.37,4.010525229594469,48557
0.38,3.9513818842041557,49088
0.39,3.8906496062992124,49689
0.4,3.8316965145388022,50182
0.41000000000000003,3.783415372964786,50532
0.42000000000000004,3.74129724685021,50803
0.43,3.7176427051531133,50993
0.44,3.6889886405276657,51185
0.45,3.6679701709712624,51329
0.46,3.6503344783945035,51442
0.47000000000000003,3.638926416283887,51506
0.48000000000000004,3.6328419917310804,51545
0.49,3.6312432626661875,51555
0.5,3.6309170933261474,51556
0.51,3.6309170933261474,51556
0.52,3.6309170933261474,51556
0.53,3.6309170933261474,51556
0.54,3.6309170933261474,51556
0.55,3.6309170933261474,51556
0.56,3.6309170933261474,51556
0.5700000000000001,3.6309170933261474,51556
0.5800000000000001,3.6309170933261474,51556
0.59,3.6309170933261474,51556
0.6,3.6309170933261474,51556
0.61,3.6309170933261474,51556
0.62,3.6309170933261474,51556
0.63,3.6309170933261474,51556
0.64,3.6309170933261474,51556
0.65,3.6309170933261474,51556
0.66,3.6309170933261474,51556
0.67,3.6309170933261474,51556
0.68,3.6309170933261474,51556
0.6900000000000001,3.6309170933261474,51556
0.7000000000000001,3.6309170933261474,51556
0.7100000000000001,3.6309170933261474,51556
0.72,3.6309170933261474,51556
0.73,3.6309170933261474,51556
0.74,3.6309170933261474,51556
0.75,3.6309170933261474,51556
0.76,3.6309170933261474,51556
0.77,3.6309170933261474,51556
0.78,3.6309170933261474,51556
0.79,3.6309170933261474,51556
0.8,3.6309170933261474,51556
0.81,3.6309170933261474,51556
0.8200000000000001,3.6309170933261474,51556
0.8300000000000001,3.6309170933261474,51556
0.8400000000000001,3.6309170933261474,51556
0.85,3.6309170933261474,51556
0.86,3.6309170933261474,51556
0.87,3.6309170933261474,51556
0.88,3.6309170933261474,51556
0.89,3.6309170933261474,51556
0.9,3.6309170933261474,51556
0.91,3.6309170933261474,51556
0.92,3.6309170933261474,51556
0.93,3.6309170933261474,51556
0.9400000000000001,3.6309170933261474,51556
0.9500000000000001,3.6309170933261474,51556
0.9600000000000001,3.6309170933261474,51556
0.97,3.6309170933261474,51556
0.98,3.6309170933261474,51556
0.99,3.6309170933261474,51556
