Threshold,Ratio,Approved Loan
0.01,,0
0.02,,2
0.03,26.0,27
0.04,57.5,117
0.05,52.57142857142857,375
0.060000000000000005,23.153846153846153,942
0.06999999999999999,20.202247191011235,1887
0.08,17.549707602339183,3172
0.09,15.171717171717171,4803
0.09999999999999999,12.897540983606557,6782
0.11,11.541374474053296,8942
0.12,10.576567317574511,11264
0.13,9.71652310101801,13685
0.14,9.121212121212121,16032
0.15000000000000002,8.37506387327542,18347
0.16,8.026824978012312,20527
0.17,7.684857801691007,22598
0.18000000000000002,7.274496644295302,24658
0.19,6.984016887816646,26475
0.2,6.806085753803596,28219
0.21000000000000002,6.519889224572004,29869
0.22,6.279462838620051,31440
0.23,6.069597069597069,32810
0.24000000000000002,5.87467362924282,34229
0.25,5.693396226415095,35475
0.26,5.526550249465431,36627
0.27,5.39782571768303,37664
0.28,5.282088823816496,38616
0.29000000000000004,5.1698877805486285,39586
0.3,5.044328358208955,40497
0.31,4.96161062202338,41308
0.32,4.864066852367688,42104
0.33,4.779546681057744,42838
0.34,4.6929113261836255,43528
0.35000000000000003,4.5963291139240505,44211
0.36000000000000004,4.518586903003446,44833
0.37,4.453485576923077,45373
0.38,4.391661773341163,45910
0.39,4.331227747789135,46419
0.4,4.2782530391715445,46892
0.41000000000000003,4.211881188118812,47376
0.42000000000000004,4.160008637443317,47792
0.43,4.1190602742638465,48155
0.44,4.064156060922178,48545
0.45,4.0171317193270415,48907
0.46,3.9795546558704453,49198
0.47000000000000003,3.9485051494850514,49490
0.48000000000000004,3.9121594946703513,49770
0.49,3.875767918088737,50001
0.5,3.8461909819445785,50192
0.51,3.8173646968827692,50380
0.52,3.7906910607640536,50537
0.53,3.7651372696502445,50682
0.54,3.7461933675852404,50808
0.55,3.7304404385801897,50909
0.56,3.720062928002961,51005
0.5700000000000001,3.7060340856748044,51084
0.5800000000000001,3.696163025518634,51160
0.59,3.6848024871982443,51233
0.6,3.677369333211712,51278
0.61,3.6686067660967625,51336
0.62,3.663609950971491,51365
0.63,3.6597152960377186,51392
0.64,3.6545388722961354,51428
0.65,3.651419273187489,51454
0.66,3.6472553268327914,51473
0.67,3.642773419890001,51493
0.68,3.6405982520947835,51506
0.6900000000000001,3.6395568765198596,51513
0.7000000000000001,3.6378611936267893,51522
0.7100000000000001,3.636494511427029,51530
0.72,3.635930190716085,51533
0.73,3.6333153541891408,51541
0.74,3.6317728457183933,51547
0.75,3.6320424117171353,51550
0.76,3.6313898122360975,51552
0.77,3.6311534315486886,51554
0.78,3.6309170933261474,51556
0.79,3.6309170933261474,51556
0.8,3.6309170933261474,51556
0.81,3.6309170933261474,51556
0.8200000000000001,3.6309170933261474,51556
0.8300000000000001,3.6309170933261474,51556
0.8400000000000001,3.6309170933261474,51556
0.85,3.6309170933261474,51556
0.86,3.6309170933261474,51556
0.87,3.6309170933261474,51556
0.88,3.6309170933261474,51556
0.89,3.6309170933261474,51556
0.9,3.6309170933261474,51556
0.91,3.6309170933261474,51556
0.92,3.6309170933261474,51556
0.93,3.6309170933261474,51556
0.9400000000000001,3.6309170933261474,51556
0.9500000000000001,3.6309170933261474,51556
0.9600000000000001,3.6309170933261474,51556
0.97,3.6309170933261474,51556
0.98,3.6309170933261474,51556
0.99,3.6309170933261474,51556
